Time Between Sends vs. Total Time
Time Between Sends,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Total Time (GBN),2297,1983,2007,2581,1919,4093,1859,2506,1117,1641,2101,1470,2187,1006,1303,1606,1200,1152,1361,907,1099,872,1362,1278,1233,889,935,614,969,1563,808,930,770,665,1059,890,1165,1062,739,834,800,842,850,898,1046,882,1058,953,949,1438
Total Time (TCP),343,346,308,338,290,277,290,315,321,303,297,325,368,310,344,363,339,382,426,451,547,501,485,525,562,511,682,593,621,683,581,664,778,688,677,756,762,770,816,763,789,886,876,817,876,1005,1011,1056,973,950
Loss Probability vs. Total Time
Loss Probability,0.0,0.0139999995,0.027999999,0.042,0.055999998,0.07,0.084,0.098,0.111999996,0.126,0.14,0.154,0.168,0.182,0.196,0.21,0.22399999,0.23799999,0.252,0.266,0.28,0.294,0.308,0.322,0.336,0.35,0.364,0.378,0.392,0.406,0.42,0.434,0.44799998,0.46199998,0.47599998,0.48999998,0.504,0.518,0.532,0.546,0.56,0.574,0.588,0.602,0.616,0.63,0.644,0.658,0.672,0.686
Total Time (GBN),2928,4177,1459,1707,1650,1617,1375,1741,1616,807,1046,1033,801,781,795,749,844,779,821,906,606,536,643,563,594,467,543,526,498,460,604,500,629,601,752,582,545,611,634,757,648,828,745,853,819,862,1053,1108,1128,1263
Total Time (TCP),274,257,288,268,274,294,258,254,296,272,298,291,327,264,328,325,303,347,305,348,331,425,414,396,485,453,574,513,578,479,621,746,799,826,967,1045,987,915,1175,1164,1315,1423,1325,1945,2141,2272,2749,2533,2947,2984
Corruption Probability vs. Total Time
Corruption Probability,0.0,0.0139999995,0.027999999,0.042,0.055999998,0.07,0.084,0.098,0.111999996,0.126,0.14,0.154,0.168,0.182,0.196,0.21,0.22399999,0.23799999,0.252,0.266,0.28,0.294,0.308,0.322,0.336,0.35,0.364,0.378,0.392,0.406,0.42,0.434,0.44799998,0.46199998,0.47599998,0.48999998,0.504,0.518,0.532,0.546,0.56,0.574,0.588,0.602,0.616,0.63,0.644,0.658,0.672,0.686
Total Time (GBN),1371,1785,1776,567,1834,3660,2295,2977,2449,2894,4008,3822,2526,4168,2948,2356,3679,4437,3796,3072,3445,3482,3179,4118,3588,4522,3607,5024,2856,3390,4518,4587,4403,3877,4300,5243,2744,3499,4287,4025,3468,3554,3779,3875,4016,4730,3792,3837,4294,4561
Total Time (TCP),304,272,281,322,290,289,314,341,320,366,290,316,301,375,305,343,363,370,448,354,395,430,430,472,493,486,574,557,599,551,647,746,735,890,1182,1022,1159,1097,1215,1483,1284,1507,1487,1443,2065,1756,2486,2594,2469,3117
Windows Size vs. Total Time
Windows Size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Total Time (GBN),466,377,503,1752,2555,5479,5448,4680,4870,6524,3214,3039,2670,5269,4228,3287,4947,2369,3343,4156,2111,3532,4388,2604,2846,3143,1381,7878,3021,4577,3283,6242,4040,2239,3802,4785,2130,3255,4156,5475,6143,2637,6373,4232,5765,3108,4917,4842,4004,2536
Total Time (TCP),401,404,305,322,310,328,292,327,341,332,373,331,355,324,299,348,312,360,337,319,342,381,333,316,316,346,342,367,342,321,323,347,299,359,317,365,341,301,346,331,346,370,336,386,434,328,348,372,351,331

